Country,Capital,Population
Australia,Canberra,322723
Belgium,"Bruxelles [Brussel]",133859
Brazil,Brasília,1969868
Canada,Ottawa,335277
Switzerland,Bern,122700
India,"New Delhi",301297
Kazakstan,Astana,311200
Nigeria,Abuja,350100
"New Zealand",Wellington,166700
Oman,Masqat,51969
Pakistan,Islamabad,524500
"United States",Washington,572059
"South Africa",Pretoria,658630
